name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
Horadric Staff	staf		hst	bst	hst	0							1	12	20				2		100		30		100		0	0	408	0			bst	hst			stf	stf	5	staf	1	4					flphst	invhst			1	4	0	magically charged	0	item_staff	12	item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	1	xxx	xxx	0	0
Jo Staff	staf		8ss	bst	8ss	0		1	1				1	6	21				1	-10	100		25		40		30	18	268	4162	1		bst	sst	8ss	6ss	stf	stf	5	club	1	3					flpsst	invsst			1	3	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Long Staff	staf		lst	sst	lst	0		1	1				1	3	12				1		100				60		8	1	154	1020	1		bst	lst	8ls	6ls	stf	stf	5	staf	1	4					flplst	invlst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					1					1	3	5			1					1					1	1	4			1					1					1	1	2			1					1					1					1					1					1					1					1					1			5	8	0	cst	wst	1	0
Quarterstaff	staf		8ls	sst	8ls	0		1	1				1	8	26				1		100		25		60		35	21	564	7912	1		sst	lst	8ls	6ls	stf	stf	5	staf	1	4					flplst	invlst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Rune Staff	staf		8ws	lst	8ws	0		1	1				1	24	58				1	20	100		25		100		47	30	2086	31999	1		lst	wst	8ws	6ws	stf	stf	5	staf	2	4					flpwst	invwst	inv8wsu	inv8wsu	1	8	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Shillelah	staf		6bs	sst	6bs	100		1	1				1	65	108			17	1		100		52	27	80		83	57	2662	70684	1		sst	bst	8bs	6bs	stf	stf	5	staf	1	4					flpbst	invbst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Short Staff	staf		sst	bst	sst	0		1	1				1	1	7				1	-10	100				40		1	0	56	317	1		bst	sst	8ss	6ss	stf	stf	5	club	1	3					flpsst	invsst			1	3	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					1					1	10	12			1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	cst	bst	1	0
Staff of the Kings	staf		msf	bst	msf	0							1	10	15				2		100		25		90		0	0	408	0			bst	msf			stf	stf	5	staf	1	3					flpmsf	invmsf			1	3	0	magically charged	0	item_staff	12	item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	1	xxx	xxx	0	0
Stalagmite	staf		6ls	sst	6ls	100		1	1				1	75	107			17	1	10	100		63	35	60		66	45	1790	38972	1		sst	lst	8ls	6ls	stf	stf	5	staf	1	4					flplst	invlst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Walking Stick	staf		6ss	bst	6ss	100		1	1				1	69	85			17	1	-10	100		25		40		58	39	2718	50443	1		bst	sst	8ss	6ss	stf	stf	5	club	1	3					flpsst	invsst			1	3	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
War Staff	staf		wst	lst	wst	0		1	1				1	12	28				1	20	100				100		24	13	662	6214	1		bst	wst	8ws	6ws	stf	stf	5	staf	2	4					flpwst	invwst			1	8	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1	1	2			1					1					1					1					1	2	2			1					1					1	2	2			1			5	8	0	xxx	xxx	1	0
Bone Wand	wand		bwn	bwn	bwn	0		1	1	3	7									-20	100				30		18	9	432	3483	1		wnd	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1	2	6			1					1					1	6	10			1					1					1					1					1	5	7			1					1					1	5	7			1			1	2	0	xxx	xxx	1	0
Burnt Wand	wand		9wn	wnd	9wn	0		1	1	8	18										100		25		30		31	18	306	4637	1		wnd	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Ghost Wand	wand		7yw	ywn	7yw	100		1	1	20	40							14		10	100		25		28		65	44	2928	60609			ywn	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Grave Wand	wand		9gw	bwn	9gw	0		1	1	13	29										100		25		30		49	32	2198	35011	1		bwn	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn	inv9gwu	inv9gwu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	1	0
Grim Wand	wand		gwn	bwn	gwn	0		1	1	5	11										100				30		26	15	700	7005	1		wnd	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1	1	3			1					1					1					1					1	2	5			1					1					1	2	5			1			1	2	0	xxx	xxx	1	0
Lich Wand	wand		7bw	bwn	7bw	100		1	1	10	31							14		-20	100		25		34		75	51	3070	73060			bwn	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	1	0
Petrified Wand	wand		9yw	ywn	9yw	0		1	1	8	24									10	100		25		30		38	24	846	11783	1		ywn	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Polished Wand	wand		7wn	wnd	7wn	100		1	1	18	33							14			100		25		44		55	36	3138	54766			wnd	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Tomb Wand	wand		9bw	bwn	9bw	0		1	1	10	22									-20	100		25		30		43	27	1396	20408	1		bwn	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	1	0
Unearthed Wand	wand		7gw	bwn	7gw	100		1	1	22	28							14			100		25		36		86	60	2562	70658			bwn	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	1	0
Wand	wand		wnd	wnd	wnd	0		1	1	1	2										100				30		1	0	68	391	1		wnd	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd	invwndu	invwndu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					1					1	11	15			1					1					1	1	2			1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	ywn	bwn	1	0
Yew Wand	wand		ywn	ywn	ywn	0		1	1	2	8									10	100				30		12	4	248	1744	1		wnd	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					1					1	2	3			1					1					1	8	12			1					1					1	4	6			1					1					1					1					1		1			1					1					1					1			5	8	0	bwn	gwn	1	0
Maiden Javelin	ajav		am5	pil	am5	100		1	1	10	18					10	18	15	2	-10	80	50	33	47	6		23	12	8	1510		302	jav	am5	ama	amf	1ht	1ht	5	1ht	1	3	1	32	80	80	flpam5	invam5			1	3	0	primarily thrown	0	item_staff	12	item_staff	0	0	5	0	0	0			371	7	2	0	3					1					1					1					1					1					1					1					1	9	10			1					1					1					1					1	5	6			1					1					1	4	4			1			1	2	0	xxx	xxx	1	0
Ceremonial Javelin	ajav		ama	pil	ama	100		1	1	23	44					23	44	15	2	-10	80	50	25	109	6		35	21	74	3554		302	jav	am5	ama	amf	1ht	1ht	5	1ht	1	3	1	32	80	80	flpam5	invam5			1	3	0	primarily thrown	0	item_staff	12	item_staff	0	0	5	0	0	0			371	7	2	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	1	0
MatriarchalJavelin	ajav		amf	pil	amf	100		1	1	38	68					38	68	15	2	-10	80	50	107	151	6		65	44	50	5463		302	jav	am5	ama	amf	1ht	1ht	5	1ht	1	3	1	32	80	80	flpam5	invam5			1	3	0	primarily thrown	0	item_staff	12	item_staff	0	0	5	0	0	0			371	7	2	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	1	0
Javelin	jave		jav	jav	jav	0		1	1	2	8					2	8	15	2	-10	75	75			2		1	0	2	301			jav	jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	30	60	60	flpjav	invjav			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3	2	3			1	1	2			1					1					1					1					1					1					1					1	1	2			1	1	1			1					1					1	1	1			1					1	1	1			1					1			5	8	0	glv	glv	1	0
Pilum	jave		pil	pil	pil	0		1	1	5	11					5	11	15	2		75	75		45	3		10	3	3	768			jav	pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	25	50	50	flppil	invpil			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3					1	1	1			1					1	1	1			1					1					1					1					1					1	1	2			1	1	1			1	1	1			1	2	3			1	1	1			1					1	1	1			1	2	2			1			5	8	0	tsp	tsp	1	0
Short Spear	jave		ssp	jav	ssp	0		1	1	3	16					3	16	15	2	10	75	75	40	40	4		15	6	4	1036			jav	ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	20	40	40	flpssp	invssp			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3					1	1	2			1					1	2	2			1					1					1					1					1					1					1	1	1			1	1	2			1					1	1	1			1					1	1	1			1	2	2			1			5	8	0	tsp	tsp	1	0
Glaive	jave		glv	glv	glv	0		1	1	6	21					6	21	15	2	20	75	75	52	35	5		23	12	6	1483			jav	glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	15	40	40	flpglv	invglv			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					1					1					1	2	2			1					1					1					1					1					1					1	1	1			1	1	2			1					1	1	1			1					1	1	1			1	2	2			1			1	2	0	xxx	xxx	1	0
Throwing Spear	jave		tsp	pil	tsp	0		1	1	6	19					6	19	15	2	-10	75	75		65	6		29	17	8	1839			jav	tsp	9ts	7ts	1ht	1ht	5	1ht	1	4	1	32	80	80	flptsp	invtsp			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3					1					1					1					1					1					1					1					1					1					1					1					1	2	3			1	1	1			1					1	1	1			1	2	2			1			1	2	0	xxx	xxx	1	0
War Javelin	jave		9ja	jav	9ja	0		1	1	8	24					8	24	15	2	-10	75	75	25	25	10		30	18	20	2110			jav	jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	30	60	60	flpjav	invjav			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Great Pilum	jave		9pi	pil	9pi	0		1	1	14	33					14	33	15	2		75	75	25	88	12		37	23	21	2563			pil	pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	25	50	50	flppil	invpil			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Simbilan	jave		9s9	jav	9s9	0		1	1	10	40					10	40	15	2	10	75	75	80	80	14		40	25	23	2790			jav	ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	20	40	40	flpssp	invssp			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Spiculum	jave		9gl	glv	9gl	0		1	1	16	48					16	48	15	2	20	75	75	98	73	16		46	30	24	3217			glv	glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	8	20	20	flpglv	invglv			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	1	0
Harpoon	jave		9ts	pil	9ts	0		1	1	16	44					16	44	15	2	-10	75	75	25	118	18		51	33	25	3565			pil	tsp	9ts	7ts	1ht	1ht	5	1ht	1	4	1	32	80	80	flptsp	invtsp			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	1	0
Hyperion Javelin	jave		7ja	jav	7ja	100		1	1	26	71					26	71	14	2	-10	75	75	98	123	10		54	36	35	4089			jav	jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	30	100	60	flpjav	invjav			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Stygian Pilum	jave		7pi	pil	7pi	100		1	1	18	80					18	80	14	2		75	75	118	112	12		62	42	37	4714			pil	pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	25	90	50	flppil	invpil			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Balrog Spear	jave		7s7	jav	7s7	100		1	1	41	79					41	79	14	2	10	75	75	127	95	14		71	48	39	5447			jav	ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	20	80	40	flpssp	invssp			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Ghost Glaive	jave		7gl	glv	7gl	100		1	1	24	75					24	75	14	2	20	75	75	89	137	16		79	54	40	6104			glv	glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	8	75	20	flpglv	invglv			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	1	0
Winged Harpoon	jave		7ts	pil	7ts	100		1	1	34	44					34	44	14	2	-10	75	75	76	145	18		85	59	33	6192			pil	tsp	9ts	7ts	1ht	1ht	5	1ht	1	4	1	32	80	80	flptsp	invtsp			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	1	0
Throwing Axe	taxe		tax	hax	tax	0		1	1	4	7					8	12			10	75	75		40	6		7	0	2	608			hax	tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	16	130	32	flptax	invtax			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3	1	1			1	1	2			1					1	1	1			1					1					1					1					1					1	2	2			1					1					1					1					1					1					1	1	1			1			2	2	0	bal	bal	1	0
Balanced Axe	taxe		bal	hax	bal	0		1	1	5	11					13	16			-10	75	75		57	10		17	8	6	1106			hax	bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	16	130	24	flpbal	invbal			1	6	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	5	0	3					1					1					1	2	2			1					1					1					1					1					1					1	1	2			1	2	3			1	2	4			1					1					1					1	1	1			1			2	2	0	xxx	xxx	1	0
Francisca	taxe		9ta	hax	9ta	0		1	1	12	23					19	35	15		10	75	75	25	80	15		36	22	15	2256			hax	tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	16	130	32	flptax	invtax			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	2	0	xxx	xxx	1	0
Hurlbat	taxe		9b8	hax	9b8	0		1	1	14	29					26	36	15		-10	75	75	25	106	16		44	28	18	2751			hax	bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	16	130	24	flpbal	invbal			1	6	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	5	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Flying Axe	taxe		7ta	hax	7ta	100		1	1	18	70					16	71	15		10	75	75	88	108	15		60	40	38	4338			hax	tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	16	180	32	flptax	invtax			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	2	0	xxx	xxx	1	0
Winged Axe	taxe		7b8	hax	7b8	100		1	1	12	60					7	64	15		-10	75	75	96	122	16		85	59	42	6258			hax	bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	16	180	24	flpbal	invbal			1	6	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	5	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Throwing Knife	tkni		tkf	dgr	tkf	0		1	1	2	3					4	9				75	75		21	4		2	0	2	351			dgr	tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	40	160	75	flptkn	invtkn			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3	1	2			1	1	2			1					1					1					1					1					1					1					1	2	2			1					1					1					1					1					1					1	1	1			1			1	2	0	bkf	bkf	1	0
Balanced Knife	tkni		bkf	dgr	bkf	0		1	1	1	9					6	12			-20	75	75		51	8		14	6	3	920			dgr	bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	30	160	60	flpbkf	invbkf			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					1					1					1	2	2			1					1					1					1					1					1					1	1	2			1	2	3			1	2	4			1					1					1					1	1	1			1			1	2	0	xxx	xxx	1	0
Battle Dart	tkni		9tk	dgr	9tk	0		1	1	9	18					12	26	15			75	75	25	52	6		34	21	13	2048			dgr	tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	40	160	75	flptkn	invtkn			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	1	0
War Dart	tkni		9bk	dgr	9bk	0		1	1	7	26					15	30	15		-20	75	75	25	97	20		43	27	17	2590			dgr	bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	30	160	60	flpbkf	invbkf			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	1	0
Flying Knife	tkni		7tk	dgr	7tk	100		1	1	26	60					26	60	15			75	75	48	141	6		71	48	36	4826			dgr	tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	40	200	75	flptkn	invtkn			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	1	0
Winged Knife	tkni		7bk	dgr	7bk	100		1	1	30	39					25	43	15		-20	75	75	45	142	20		85	59	41	6010			dgr	bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	30	200	60	flpbkf	invbkf	invtk3		1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	1	0
Arbalest	xbow		8lx	lxb	8lx	0		1	1				1	14	27					-20		100	52	61	30	1	34	21	904	11161			lxb	lxb	8lx	6lx	xbw	xbw	5	xbow	2	3					flplxb	invlxb	inv8lxu	inv8lxu	1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Balista	xbow		8hx	hxb	8hx	0		1	1				1	33	55					0		100	110	80	50	1	47	30	4196	61764			hxb	hxb	8hx	6hx	xbw	xbw	5	xbow	2	4					flphxb	invhxb	invhxbu	invhxbu	1	8	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Colossus Crossbow	xbow		6hx	hxb	6hx	100		1	1				1	32	91			19		0		100	163	77	50	1	75	51	8688	199488			hxb	hxb	8hx	6hx	xbw	xbw	5	xbow	2	4					flphxb	invhxb	invhxbu	invhxbu	1	8	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Crossbow	xbow		mxb	lxb	mxb	0		1	1				1	9	16					-10		100	40	33	40	1	15	6	782	4518			lxb	mxb	8mx	6mx	xbw	xbw	5	xbow	2	3					flpmxb	invmxb	invmxbu	invmxbu	1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					1					1					1	2	2			1					1					1					1					1					1					1	1	2			1	1	2			1					1					1					1					1					1			5	8	0	hxb	hxb	1	0
Gorgon Crossbow	xbow		6mx	lxb	6mx	100		1	1				1	25	87			19		-10		100	117	105	40	1	67	45	7436	153044			lxb	mxb	8mx	6mx	xbw	xbw	5	xbow	2	3					flpmxb	invmxb	invmxbu	invmxbu	1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Heavy Crossbow	xbow		hxb	hxb	hxb	0		1	1				1	14	26					0		100	60	40	50	1	24	13	1366	11280			lxb	hxb	8hx	6hx	xbw	xbw	5	xbow	2	4					flphxb	invhxb	invhxbu	invhxbu	1	8	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					1					1					1					1					1					1					1					1					1					1		2			1		2			1					1	2	2			1	1	2			1					1					1			5	8	0	xxx	xxx	1	0
Light Crossbow	xbow		lxb	lxb	lxb	0		1	1				1	6	9					-20		100	21	27	30	1	6	0	268	1032			lxb	lxb	8lx	6lx	xbw	xbw	5	xbow	2	3					flplxb	invlxb	invlxbu	invlxbu	1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1	2	2			1	2	2			1					1					1					1					1					1					1					1	2	2			1					1					1					1					1					1					1					1			5	8	0	mxb	rxb	1	0
