Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Act 5 (H) Unique C	11	85	2						Equip 85	1	Equip 84	1																				0
Act 1 Super A	12	0	3						Equip 0	1																						0
Act 1 Super B	12	5	3						Equip 5	1																						0
Act 1 Super C	12	9	3						Equip 9	1																						0
Act 2 Super A	12	12	3						Equip 12	1																						0
Act 2 Super B	12	15	3						Equip 15	1																						0
Act 2 Super C	12	18	3						Equip 18	1																						0
Act 3 Super A	12	20	3						Equip 20	1																						0
Act 3 Super B	12	22	3						Equip 22	1																						0
Act 3 Super C	12	24	3						Equip 24	1																						0
Act 4 Super A	12	26	3						Equip 26	1																						0
Act 4 Super B	12	29	3						Equip 29	1																						0
Act 4 Super C	12	32	3						Equip 32	1																						0
Act 5 Super A	12	34	3						Equip 34	1																						0
Act 5 Super B	12	36	3						Equip 36	1																						0
Act 5 Super C	12	38	3						Equip 38	1																						0
Act 1 (N) Super A	12	40	3						Equip 40	1																						0
Act 1 (N) Super B	12	41	3						Equip 40	1																						0
Act 1 (N) Super C	12	42	3						Equip 42	1																						0
Act 2 (N) Super A	12	44	3						Equip 44	1																						0
Act 2 (N) Super B	12	45	3						Equip 44	1																						0
Act 2 (N) Super C	12	46	3						Equip 46	1																						0
Act 3 (N) Super A	12	48	3						Equip 48	1																						0
Act 3 (N) Super B	12	50	3						Equip 50	1																						0
Act 3 (N) Super C	12	51	3						Equip 50	1																						0
Act 4 (N) Super A	12	54	3						Equip 54	1	Equip 52	1																				0
Act 4 (N) Super B	12	57	3						Equip 56	1																						0
Act 4 (N) Super C	12	60	3						Equip 60	1	Equip 58	1																				0
Act 5 (N) Super A	12	62	3						Equip 62	1																						0
Act 5 (N) Super B	12	63	3						Equip 62	1																						0
Act 5 (N) Super C	12	66	3						Equip 66	1	Equip 64	1																				0
Act 1 (H) Super A	12	67	3						Equip 66	1																						0
Act 1 (H) Super B	12	67	3						Equip 66	1																						0
Act 1 (H) Super C	12	68	3						Equip 68	1																						0
Act 2 (H) Super A	12	68	3						Equip 68	1																						0
Act 2 (H) Super B	12	69	3						Equip 68	1																						0
Act 2 (H) Super C	12	72	3						Equip 71	1	Equip 70	1																				0
Act 3 (H) Super A	12	73	3						Equip 73	1																						0
Act 3 (H) Super B	12	75	3						Equip 75	1																						0
Act 3 (H) Super C	12	78	3						Equip 78	1	Equip 77	1	Equip 76	1																		0
Act 4 (H) Super A	12	81	3						Equip 81	1	Equip 80	1	Equip 79	1																		0
Act 4 (H) Super B	12	84	3						Equip 84	1	Equip 83	1	Equip 82	1																		0
Act 4 (H) Super C	12	87	3						Equip 85	1																						0
Act 5 (H) Super A	12	90	3						Equip 85	1																						0
Act 5 (H) Super B	12	93	3						Equip 85	1																						0
Act 5 (H) Super C	12	96	3						Equip 85	1																						0
Act 1 Equip A	13	0	1	1024					armo3	8	weap3	8																				0
Act 1 Equip B	13	5	1	1024					armo6	10	weap6	10	Act 1 Equip A	15																		0
Act 1 Equip C	13	9	1	1024					armo9	12	weap9	18	Act 1 Equip B	30																		0
Act 2 Equip A	13	12	1	1024					armo12	14	weap12	21	Act 1 Equip C	45																		0
Act 2 Equip B	13	15	1	1024					armo15	16	weap15	24	Act 2 Equip A	60																		0
Act 2 Equip C	13	18	1	1024					armo18	18	weap18	27	Act 2 Equip B	75																		0
Act 3 Equip A	13	20	1	1024					armo21	20	weap21	30	Act 2 Equip C	90																		0
Act 3 Equip B	13	22	1	1024					armo24	22	weap24	33	Act 3 Equip A	105																		0
Act 3 Equip C	13	24	1	1024					armo27	24	weap27	36	Act 3 Equip B	120																		0
Act 4 Equip A	13	26	1	1024					armo30	26	weap30	39	Act 3 Equip C	135																		0
Act 4 Equip B	13	29	1	1024					armo33	28	weap33	42	Act 4 Equip A	150																		0
Act 5 Equip A	13	32	1	1024					armo33	28	weap33	42	Act 4 Equip A	150																		0
Act 5 Equip B	13	34	1	1024					armo36	30	weap36	45	Act 5 Equip A	165																		0
Act 5 Equip C	13	36	1	1024					armo36	30	weap36	45	Act 5 Equip A	165																		0
Act 1 (N) Equip A	13	38	1	1024					armo39	32	weap39	48	Act 5 Equip C	180																		0
Act 1 (N) Equip B	13	40	1	1024					armo39	32	weap39	48	Act 5 Equip C	180																		0
Act 1 (N) Equip C	13	42	1	1024					armo42	34	weap42	51	Act 1 (N) Equip B	195																		0
Act 2 (N) Equip A	13	44	1	1024					armo42	34	weap42	51	Act 1 (N) Equip B	195																		0
Act 2 (N) Equip B	13	46	1	1024					armo45	36	weap45	54	Act 2 (N) Equip A	210																		0
Act 2 (N) Equip C	13	48	1	1024					armo45	36	weap45	54	Act 2 (N) Equip A	210																		0
Act 3 (N) Equip A	13	50	1	1024					armo48	38	weap48	57	Act 2 (N) Equip C	225																		0
Act 3 (N) Equip B	13	52	1	1024					armo48	38	weap48	57	Act 2 (N) Equip C	225																		0
Act 3 (N) Equip C	13	54	1	1024					armo51	40	weap51	60	Act 3 (N) Equip B	240																		0
Act 4 (N) Equip A	13	56	1	1024					armo51	40	weap51	60	Act 3 (N) Equip B	240																		0
Act 4 (N) Equip B	13	58	1	1024					armo54	42	weap54	63	Act 4 (N) Equip A	255																		0
Act 4 (N) Equip C	13	60	1	1024					armo54	42	weap54	63	Act 4 (N) Equip A	255																		0
Act 5 (N) Equip A	13	62	1	1024					armo57	44	weap57	66	Act 4 (N) Equip C	270																		0
Act 5 (N) Equip B	13	64	1	1024					armo57	44	weap57	66	Act 4 (N) Equip C	270																		0
Act 5 (N) Equip C	13	66	1	1024					armo60	46	weap60	69	Act 5 (N) Equip B	285																		0
Act 1 (H) Equip A	13	68	1	1024					armo60	46	weap60	69	Act 5 (N) Equip B	285																		0
Act 1 (H) Equip B	13	70	1	1024					armo63	48	weap63	72	Act 1 (H) Equip A	300																		0
Act 1 (H) Equip C	13	71	1	1024					armo63	48	weap63	72	Act 1 (H) Equip A	300																		0
Act 2 (H) Equip A	13	73	1	1024					armo66	50	weap66	75	Act 1 (H) Equip C	315																		0
Act 2 (H) Equip B	13	75	1	1024					armo66	50	weap66	75	Act 1 (H) Equip C	315																		0
Act 2 (H) Equip C	13	76	1	1024					armo69	52	weap69	78	Act 2 (H) Equip B	330																		0
Act 3 (H) Equip A	13	77	1	1024					armo69	52	weap69	78	Act 2 (H) Equip B	330																		0
Act 3 (H) Equip B	13	78	1	1024					armo72	54	weap72	81	Act 3 (H) Equip A	345																		0
Act 3 (H) Equip C	13	79	1	1024					armo72	54	weap72	81	Act 3 (H) Equip A	345																		0
Act 4 (H) Equip A	13	80	1	1024					armo75	56	weap75	84	Act 3 (H) Equip C	360																		0
Act 4 (H) Equip B	13	81	1	1024					armo75	56	weap75	84	Act 3 (H) Equip C	360																		0
Act 4 (H) Equip C	13	82	1	1024					armo78	58	weap78	87	Act 4 (H) Equip B	375																		0
Act 5 (H) Equip A	13	83	1	1024					armo81	60	weap81	90	Act 4 (H) Equip C	390																		0
Act 5 (H) Equip B	13	84	1	1024					armo84	62	weap84	93	Act 5 (H) Equip A	405																		0
Act 5 (H) Equip C	13	85	1	1024					armo87	64	weap87	96																				0
Andariel			6	1024					Act 2 Equip B	36	rin	8	amu	6																		0
Andariel (N)			6	1024					Act 2 (N) Equip B	36	rin	8	amu	6																		0
Andariel (H)			6	1024					Act 2 (H) Equip B	36	rin	8	amu	6																		0
Andarielq			6	1024					Act 2 Equip B	36	rin	8	amu	6																		0
Andarielq (N)			6	1024					Act 2 (N) Equip B	36	rin	8	amu	6																		0
Andarielq (H)			6	1024					Act 2 (H) Equip B	36	rin	8	amu	6																		0
Radament			6	1024					Act 3 Equip C	43	Act 3 Good	7																				0
Radament (N)			6	1024					Act 3 (N) Equip C	43	Act 3 (N) Good	7																				0
Radament (H)			6	1024					Act 4 (H) Equip A	43	Act 3 (H) Good	7																				0
Flying Scimitar			-3	1024					Act 3 Good	2	scm	1																				0
Flying Scimitar (N)			-3	1024					Act 3 (N) Good	2	9sm	1																				0
Flying Scimitar (H)			-3	1024					Act 3 (H) Good	2	7sm	1																				0
Mephisto			6	1024					Act 4 Equip B	43	rin	4	amu	3																		0
Mephisto (N)			6	1024					Act 4 (N) Equip B	43	rin	4	amu	3																		0
Mephisto (H)			-6	1024					Act 4 (H) Equip B	3	rin	1	amu	1	ceh	1																0
Mephistoq			6	1024					Act 4 Equip B	43	rin	4	amu	3																		0
Mephistoq (N)			6	1024					Act 4 (N) Equip B	43	rin	4	amu	3																		0
Mephistoq (H)			-6	1024					Act 4 (H) Equip B	3	rin	1	amu	1	ceh	1																0
Diablo			6	1024					Act 5 Equip B	43	rin	4	amu	3																		0
Diablo (N)			6	1024					Act 5 (N) Equip B	43	rin	4	amu	3																		0
Diablo (H)			-6	1024					Act 5 (H) Equip B	3	rin	1	amu	1	bet	1																0
Diabloq			6	1024					Act 5 Equip B	43	rin	4	amu	3																		0
Diabloq (N)			6	1024					Act 5 (N) Equip B	43	rin	4	amu	3																		0
Diabloq (H)			-6	1024					Act 5 (H) Equip B	3	rin	1	amu	1	bet	1																0
Summoner			-3	1024					Runes 5	3																						0
Summoner (N)			-3	1024					Runes 9	3																						0
Summoner (H)			-3	1024					Runes 13	2	pk2	1																				0
Council			3	1024					GoldSwim	15	Act 4 Equip B	30	Act 4 Good	5																		0
Council (N)			3	1024					GoldSwim	15	Act 4 (N) Equip B	30	Act 4 (N) Good	5																		0
Council (H)			3	1024					GoldSwim	15	Act 4 (H) Equip B	30	Act 4 (H) Good	5																		0
Griswold			3	1024					Act 2 Equip A	1	Act 2 Good	1																				0
Griswold (N)			3	1024					Act 2 (N) Equip A	1	Act 2 (N) Good	1																				0
Griswold (H)			3	1024					Act 2 (H) Equip A	1	Act 2 (H) Good	1																				0
Cow			1	1024					Pimps	15	Act 5 Equip A	13	Act 5 Good	2																		0
Cow (N)			1	1024					Pimps	15	Act 5 (N) Equip A	13	Act 5 (N) Good	2																		0
Cow (H)			1	1024					Pimps	15	Act 5 (H) Equip A	13	Act 5 (H) Good	2																		0
Trapped Soul			1	1024					Pimps	15	Act 4 Equip B	13	Act 4 Good	2																		0
Trapped Soul (N)			1	1024					Pimps	15	Act 4 (N) Equip B	13	Act 4 (N) Good	2																		0
Trapped Soul (H)			1	1024					Pimps	15	Act 4 (H) Equip B	13	Act 4 (H) Good	2																		0
Haphesto			6	1024					Act 5 Equip B	43	Act 5 Good	7																				0
Haphesto (N)			6	1024					Act 5 (N) Equip B	43	Act 5 (N) Good	7																				0
Haphesto (H)			6	1024					Act 5 (H) Equip B	43	Act 5 (H) Good	7																				0
Nihlathak			-3	1024					Runes 7	3																						0
Nihlathak (N)			-3	1024					Runes 11	3																						0
Nihlathak (H)			-3	1024					Runes 15	2	pk3	1																				0
Baal			6	1024					Act 1 (N) Equip B	43	rin	4	amu	3																		0
Baal (N)			6	1024					Act 1 (H) Equip B	43	rin	4	amu	3																		0
Baal (H)			-6	1024					Act 5 (H) Equip C	3	rin	1	amu	1	fed	1																0
Baalq			6	1024					Act 1 (N) Equip B	43	rin	4	amu	3																		0
Baalq (N)			6	1024					Act 1 (H) Equip B	43	rin	4	amu	3																		0
Baalq (H)			-6	1024					Act 5 (H) Equip C	3	rin	1	amu	1	fed	1																0
Blood Raven			6	1024					Act 1 Equip C	43	Act 1 Good	7																				0
Blood Raven (N)			6	1024					Act 1 (N) Equip C	43	Act 1 (N) Good	7																				0
Blood Raven (H)			6	1024					Act 1 (H) Equip C	43	Act 1 (H) Good	7																				0
Smith			6	1024					Act 2 Equip A	1	Act 2 Good	1																				0
Smith (N)			6	1024					Act 2 (N) Equip A	1	Act 2 (N) Good	1																				0
Smith (H)			6	1024					Act 2 (H) Equip A	1	Act 2 (H) Good	1																				0
Izual			6	1024					Act 4 Equip C	36	rin	8	amu	6																		0
Izual (N)			6	1024					Act 4 (N) Equip C	36	rin	8	amu	6																		0
Izual (H)			6	1024					Act 4 (H) Equip C	36	rin	8	amu	6																		0
Cow King			6	1024					Act 1 Equip B	1	Act 1 Good	1																				0
Cow King (N)			6	1024					Act 1 (N) Equip B	1	Act 1 (N) Good	1																				0
Cow King (H)			6	1024					Act 1 (H) Equip B	1	Act 1 (H) Good	1																				0
Duriel			6	1024					Act 3 Equip B	36	rin	8	amu	6																		0
Duriel (N)			6	1024					Act 3 (N) Equip B	36	rin	8	amu	6																		0
Duriel (H)			-6	1024					Act 3 (H) Equip B	3	rin	1	amu	1	tes	1																0
Durielq			6	1024					Act 3 Equip B	36	rin	8	amu	6																		0
Durielq (N)			6	1024					Act 3 (N) Equip B	36	rin	8	amu	6																		0
Durielq (H)			-6	1024					Act 3 (H) Equip B	3	rin	1	amu	1	tes	1																0
ROP			1	1024					Diablo	1																						0
ROP (N)			1	1024					Diablo (N)	4	Annihilus	1																				0
ROP (H)			1	1024					Annihilus	1																						0
Countess			-3	1024					Runes 4	3																						0
Countess (N)			-3	1024					Runes 8	3																						0
Countess (H)			-3	1024					Runes 12	2	pk1	1																				0
Uber Andariel			1	1024					dhn	1																						0
Uber Duriel			1	1024					bey	1																						0
Uber Izual			1	1024					mbr	1																						0
Pandemonium Key A			1	1024					pk1	1																						0
Pandemonium Key B			1	1024					pk2	1																						0
Pandemonium Key C			1	1024					pk3	1																						0
