name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Destroyer Helm	100	0	1	1	156	156	0	0	151	0	90	0	73	49	26294	41392	bad	bad			ba3	bhm	ba3	ba8	bad	0	0	2	2	1	4	1	flpba3	invba3									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	0	0	xxx	xxx	0	0	1
Diadem	100	0	1	1	60	60	0	0	0	0	40	0	85	59	19334	138250	ci3	ci3	18		lit	lit	ci1	ci2	ci3	0	0	2	2	1	4	1	flpci2	invci3									0	0	0	0	0	circ		item_helm	12	item_helm	0	0	5	0	3	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	0	0	1
Diamond Mail	100	0	1	1	489	489	0	5	131	0	52	0	72	49	84812	112321	ung	ung			rng	rng	rng	xng	ung	0	1	2	3	1	6	1	flprng	invrng			0	0	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	8	0	xxx	xxx	0	0	1
Dragon Shield	0	0	1	1	67	67	0	0	91	13	152	0	45	20	7698	18994	xit	xit			kit	kit	kit	xit	uit	0	7	2	3	1	6	2	flpkit	invkit	invkitu	invkitu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	15	24	100		0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	2	0	xxx	xxx	0	0	1
Dream Spirit	100	0	1	1	159	159	0	0	118	0	40	0	85	61	30714	41392	drf	drf			dr1	dr1	dr5	dra	drf	0	0	2	2	1	4	1	flpdr1	invdr5									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Dusk Shroud	100	0	1	1	467	467	0	0	77	0	40	0	65	44	72786	84407	uui	uui			qlt	qlt	qui	xui	uui	0	1	2	3	1	6	1	flpqlt	invqlt			0	0	0	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	8	0	xxx	xxx	0	0	1
Earth Spirit	100	0	1	1	152	152	0	0	104	0	40	0	76	52	26576	41392	drd	drd			dr3	dr3	dr3	dr8	drd	0	0	2	2	1	4	1	flpdr3	invdr3									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Embossed Plate	0	0	1	1	303	303	0	5	125	0	110	0	58	20	45940	73025	xth	xth			gth	gth	gth	xth	uth	0	1	2	3	1	6	1	flpgth	invgth			2	2	1	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Falcon Mask	100	0	1	1	28	28	0	0	28	0	40	0	20	10	1110	2920	dr4	dr4			dr4	dr4	dr4	dr9	dre	0	0	2	2	1	4	1	flpdr4	invdr4									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1	3	4			1					1					1					1			8	8	0	xxx	xxx	0	0	1
Fanged Helm	100	0	1	1	20	20	0	0	35	0	70	0	8	1	250	825	ba2	ba2			ba1	bhm	ba2	ba7	bac	0	0	2	2	1	4	1	flpba1	invba2									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1	5	5			1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	0	0	1
Fetish Trophy	100	0	1	1	52	52	0	0	41	5	40	0	39	24	4946	8207	ne7	ne7		305	ne2	bhm	ne2	ne7	neg	0	10	2	2	1	4	2	flpne2	invne2									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	0	0	xxx	xxx	0	0	1
Field Plate	0	0	1	1	105	105	2	5	55	0	96	0	28	0	7948	9319	fld	fld			fld	fld	fld	xld	uld	0	1	2	3	1	6	1	flpfld	invfld			1	1	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1		1			1					1					1					1					1					1	2	2			1					1	1	2			1					1					1			8	8	0	gth	ful	0	0	1
Full Helm	0	0	1	1	26	26	0	0	41	0	60	0	15	0	1032	2161	fhl	fhl			fhl	hlm	fhl	xhl	uhl	0	0	2	2	1	4	1	flpfhl	invfhl	invfhlu	invfhlu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1	1	2			1					1					1					1					1					1					1	1	2			1	1	2			1					1					1					1					1					1			0	8	0	ghm	xxx	0	0	1
Full Plate Mail	0	0	1	1	161	161	2	10	80	0	140	0	37	0	15730	23026	ful	ful			ful	ful	ful	xul	uul	0	1	2	3	1	6	1	flpful	invful	invfulu	invfulu	2	2	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1	1	1			1					1	2	3			1					1					1			8	8	0	aar	xxx	0	0	1
Fury Visor	100	0	1	1	150	150	0	0	129	0	70	0	66	44	22738	41392	bac	bac			ba1	bhm	ba2	ba7	bac	0	0	2	2	1	4	1	flpba1	invba2									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	0	0	xxx	xxx	0	0	1
Gargoyle Head	100	0	1	1	16	16	0	0	20	10	40	0	20	10	722	2332	ne4	ne4		305	ne3	bhm	ne4	ne9	nee	0	10	2	2	1	4	2	flpne3	invne4									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1	3	4			1					1					1					1			1	0	0	xxx	xxx	0	0	1
Gaunlets(H)	0	0	1	1	15	15	0	0	60	0	48	0	27	0	988	3601	hgl	hgl			hgl	hgl	hgl	xhg	uhg	0	16	2	2	1	4	1	flphgl	invhgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1	1	2			1	1	2			1	1	2			1	1	1			1	2	2			1					1	2	2			1			0	8	0	xxx	xxx	0	0	1
Ghost Armor	0	0	1	1	117	117	0	0	38	0	40	0	34	17	10184	8432	xui	xui			qlt	qlt	qui	xui	uui	0	1	2	3	1	6	1	flpqlt	invqlt			0	0	0	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	8	0	xxx	xxx	0	0	1
Giant Conch	100	0	1	1	154	154	0	0	142	0	60	0	54	35	19268	75786	uhl	uhl			fhl	fhl	fhl	xhl	uhl	0	0	2	2	1	4	1	flpfhl	invfhl	invfhlu	invfhlu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	8	0	xxx	xxx	0	0	1
Girdle(H)	0	0	1	1	11	11	0	0	60	0	48	0	27	0	690	2996	hbl	hbl			hbl	hbl	hbl	zhb	uhc	0	16	2	1	1	2	1	flphbl	invhbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	3	0	0	4	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1	1	2			1	1	2			1	2	2			1	1	1			1	2	3			1					1	1	1			1			0	8	0	xxx	xxx	0	0	1
Gloves(L)	0	0	1	1	3	3	0	0	0	0	24	0	3	0	26	406	lgl	lgl			lgl	lgl	lgl	xlg	ulg	0	16	2	2	1	4	1	flplgl	invlgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1	2	2			1	1	2			1					1					1					1					1					1					1					1	1	2			1					1					1					1					1					1					1					1			0	8	0	vgl	hgl	0	0	1
Gothic Plate	0	0	1	1	135	135	0	5	70	0	110	0	32	0	11548	14933	gth	gth			gth	gth	gth	xth	uth	0	1	2	3	1	6	1	flpgth	invgth			2	2	1	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1		1			1					1					1					1	2	2			1					1	2	3			1					1					1			8	8	0	ful	xxx	0	0	1
Gothic Shield	0	0	1	1	35	35	0	5	60	12	80	0	30	0	2666	7750	gts	gts			kit	buc	gts	xts	uts	0	7	2	4	1	8	2	flpgts	invgts	invgtsu	invgtsu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	2	6	100		0	3					1					1					1					1					1					1		1			1					1					1					1					1					1	2	2			1					1	1	2			1					1	1	1			1			8	2	0	xxx	xxx	0	0	1
Grand Crown	0	0	1	1	113	113	0	0	103	0	100	0	55	20	14152	44882	xrn	xrn			crn	crn	crn	xrn	urn	0	0	2	2	1	4	1	flpcrn	invcrn	invxrnu	invxrnu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	8	0	xxx	xxx	0	0	1
Great Hauberk	100	0	1	1	501	501	1	0	118	0	100	0	75	51	90736	133960	urs	urs			brs	brs	brs	xrs	urs	0	1	2	3	1	6	1	flpbrs	invbrs			0	0	2	0	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	8	0	xxx	xxx	0	0	1
Great Helm	0	0	1	1	35	35	0	0	63	0	80	0	23	0	2060	4952	ghm	ghm			ghm	hlm	ghm	xhm	uhm	0	0	2	2	1	4	1	flpghm	invghm									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1	3	3			1					1					1					1	2	2			1	2	2			1	2	2			1					1	1	2			1					1					1			7	8	0	crn	xxx	0	0	1
Griffon Headress	100	0	1	1	68	68	0	0	50	0	40	0	40	25	6188	8206	dr7	dr7			dr4	dr4	dr2	dr7	drc	0	0	2	2	1	4	1	flpdr4	invdr2									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Grim Helm	0	0	1	1	125	125	0	0	58	0	80	0	50	20	12562	34895	xh9	xh9			bhm	bhm	bhm	xh9	uh9	0	0	2	2	1	4	1	flpbhm	invbhm	invbhmu	invbhmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	2	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			7	8	0	xxx	xxx	0	0	1
Grim Shield	0	0	1	1	150	150	0	0	58	14	140	0	48	20	13048	33752	xsh	xsh			bsh	bsh	bsh	xsh	ush	0	7	2	3	1	6	2	flpbsh	invbsh	invxshu	invxshu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	14	20	100		0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Guardian Crown	100	0	1	1	168	168	0	0	196	0	110	0	85	60	32614	41392	baf	baf			ba5	bhm	ba5	baa	baf	0	0	2	2	1	4	1	flpba5	invba5									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	0	0	xxx	xxx	0	0	1
Guilded Shield	100	0	1	1	168	168	0	0	89	22	100	0	51	33	21602	8207	pa9	pa9		304	pa3	spk	pa4	pa9	pae	0	7	2	4	1	8	2	flppa3	invpa4									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	4	0	0	0	1	0	20	28	100		0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	0	0	xxx	xxx	0	0	1
Hard Leather Armor	0	0	1	1	24	24	0	0	20	0	56	0	5	0	354	466	hla	hla			hla	hla	hla	xla	ula	0	1	2	3	1	6	1	flphla	invhla			1	1	1	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1	2	2			1		2			1					1					1					1					1					1					1					1	2	2			1					1					1					1					1					1					1					1			7	8	0	stu	aar	0	0	1
Hawk Helm	100	0	1	1	15	15	0	0	20	0	40	0	8	1	222	784	dr2	dr2			dr4	dr4	dr2	dr7	drc	0	0	2	2	1	4	1	flpdr4	invdr2									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1	5	5			1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Heater	100	0	1	1	110	110	0	0	77	22	176	0	58	38	16102	38523	uuc	uuc			buc	buc	buc	xuc	uuc	0	7	2	2	1	4	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	16	30	100		0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Heavy Belt	0	0	1	1	6	6	0	0	45	0	36	0	20	0	322	1732	tbl	tbl			mbl	mbl	tbl	ztb	utc	0	16	2	1	1	2	1	flptbl	invtbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	3	0	0	4	0	0	0			0	1					1					1					1		2			1					1					1					1					1					1					1	2	3			1	2	3			1	1	1			1	1	2			1					1					1	1	1			1			0	8	0	xxx	xxx	0	0	1
Heavy Boots	0	0	1	1	6	6	0	0	18	0	28	0	7	0	112	658	vbt	vbt			vbt	vbt	vbt	xvb	uvb	0	16	2	2	1	4	1	flpvbt	invvbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	4	10	120		0	1		2			1		2			1					1		2			1					1					1					1					1					1	2	2			1					1					1					1					1					1					1					1			0	8	0	mbt	tbt	0	0	1
Heavy Bracers	0	0	1	1	44	44	0	0	58	0	32	0	43	20	4704	11481	xmg	xmg			mgl	mgl	mgl	xmg	umg	0	16	2	2	1	4	1	flpmgl	invmgl									0	0	0	0	0	glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0	0	0	5	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	8	0	xxx	xxx	0	0	1
Heavy Gloves	0	0	1	1	6	6	0	0	0	0	28	0	7	0	118	662	vgl	vgl			vgl	vgl	vgl	xvg	uvg	0	16	2	2	1	4	1	flpvgl	invvgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1		2			1		2			1					1		2			1					1					1					1					1					1	2	2			1					1					1					1					1					1					1					1			0	8	0	mgl	tgl	0	0	1
Heirophant Trophy	100	0	1	1	70	70	0	0	58	12	40	0	54	35	9332	8207	nea	nea		305	ne2	bhm	ne5	nea	nef	0	10	2	2	1	4	2	flpne2	invne5									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	0	0	xxx	xxx	0	0	1
Hellforged Plate	100	0	1	1	530	530	0	10	196	0	120	0	78	54	100044	160036	ult	ult			plt	plt	plt	xlt	ult	0	1	2	3	1	6	1	flpplt	invplt			2	2	2	2	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Hellspawn Skull	100	0	1	1	141	141	0	0	82	5	40	0	67	45	21480	8207	neg	neg		305	ne2	bhm	ne2	ne7	neg	0	10	2	2	1	4	2	flpne2	invne2									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	0	0	xxx	xxx	0	0	1
Helm	0	0	1	1	18	18	0	0	26	0	48	0	11	0	520	1228	hlm	hlm			hlm	hlm	hlm	xlm	ulm	0	0	2	2	1	4	1	flphlm	invhlm	invhlmu	invhlmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1		2			1					1	2	3			1					1					1					1					1					1					1		1			1		1			1					1					1					1					1					1			2	8	0	fhl	ghm	0	0	1
Heraldic Shield	100	0	1	1	26	26	0	0	40	20	80	0	16	7	938	2124	pa3	pa3		304	pa3	spk	pa3	pa8	pad	0	7	2	4	1	8	2	flppa3	invpa3									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	3	0	0	0	1	0	3	9	100		0	3					1					1					1					1					1					1					1					1	2	2			1					1					1					1					1					1					1					1					1			0	0	0	xxx	xxx	0	0	1
Horned Helm	100	0	1	1	30	30	0	0	45	0	90	0	16	7	916	2075	ba3	ba3			ba3	bhm	ba3	ba8	bad	0	0	2	2	1	4	1	flpba3	invba3									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1	3	4			1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	0	0	1
Hunter's Guise	100	0	1	1	81	81	0	0	56	0	40	0	46	24	9256	8206	dr8	dr8			dr3	dr3	dr3	dr8	drd	0	0	2	2	1	4	1	flpdr3	invdr3									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Hydraskull	100	0	1	1	145	145	0	0	84	0	36	0	63	42	20914	56828	ukp	ukp			skp	skp	skp	xkp	ukp	0	0	2	2	1	4	1	flpskp	invskp									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	8	0	xxx	xxx	0	0	1
Hyperion	100	0	1	1	135	135	0	5	127	24	164	0	64	43	21972	51428	urg	urg			lrg	lrg	lrg	xrg	urg	0	7	2	3	1	6	2	flplrg	invlrg	invlrgu	invlrgu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	14	32	100		0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	2	0	xxx	xxx	0	0	1
Jawbone Cap	100	0	1	1	15	15	0	0	25	0	50	0	4	0	106	475	ba1	ba1			ba1	dr1	ba1	ba6	bab	0	0	2	2	1	4	1	flpba1	invba1									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1	5	7			1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	0	0	1
Jawbone Visor	100	0	1	1	68	68	0	0	58	0	50	0	33	20	5534	8206	ba6	ba6			ba1	dr1	ba1	ba6	bab	0	0	2	2	1	4	1	flpba1	invba1									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	0	0	xxx	xxx	0	0	1
Kite Shield	0	0	1	1	18	18	0	0	47	8	60	0	15	0	710	1798	kit	kit			kit	buc	kit	xit	uit	0	7	2	3	1	6	2	flpkit	invkit	invkitu	invkitu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	2	5	100		0	3					1					1					1	1	2			1					1					1	2	2			1					1					1					1	1	2			1	1	2			1					1					1					1					1					1			8	2	0	tow	gts	0	0	1
Kraken Shell	100	0	1	1	523	523	2	5	174	0	96	0	81	56	102672	170750	uld	uld			fld	fld	fld	xld	uld	0	1	2	3	1	6	1	flpfld	invfld			1	1	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Lacquered Plate	100	0	1	1	541	541	0	5	208	0	110	0	82	57	107698	190323	uth	uth			gth	gth	gth	xth	uth	0	1	2	3	1	6	1	flpgth	invgth			2	2	1	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Large Shield	0	0	1	1	15	15	0	5	10	11	48	0	5	0	404	1134	lrg	lrg			lrg	buc	lrg	xrg	urg	0	7	2	3	1	6	2	flplrg	invlrg	invlrgu	invlrgu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	2	4	100		0	3		2			1		2			1					1	2	2			1					1					1					1					1					1					1	2	2			1	2	2			1					1					1					1					1					1			8	2	0	kit	tow	0	0	1
Leather Armor	0	0	1	1	17	17	0	0	15	0	48	0	3	0	160	368	lea	lea			lea	lea	lea	xea	uea	0	1	2	3	1	6	1	flplea	invlea			0	0	1	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1	2	2			1		2			1					1					1					1					1					1					1					1	2	2			1					1					1					1					1					1					1					1			7	8	0	hla	ful	0	0	1
Leather Boots	0	0	1	1	3	3	0	0	0	0	24	0	3	0	26	406	lbt	lbt			lbt	lbt	lbt	xlb	ulb	0	16	2	2	1	4	1	flplbt	invlbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	3	8	120		0	1	2	2			1	1	2			1					1					1					1					1					1					1					1	1	2			1					1					1					1					1					1					1					1			0	8	0	vbt	tbt	0	0	1
Light Belt	0	0	1	1	3	3	0	0	0	0	28	0	7	0	64	634	vbl	vbl			vbl	vbl	vbl	zvb	uvc	0	16	2	1	1	2	1	flpvbl	invvbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	3	0	0	4	0	0	0			0	1		2			1		2			1					1		2			1					1					1					1					1					1	2	2			1					1					1					1					1					1					1					1			0	8	0	mbl	hbl	0	0	1
Light Gauntlets	0	0	1	1	11	11	0	0	45	0	36	0	20	0	546	2068	tgl	tgl			mgl	mgl	tgl	xtg	utg	0	16	2	2	1	4	1	flptgl	invtgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					1					1					1		2			1					1					1					1					1					1					1	2	3			1	2	3			1	1	1			1	1	2			1	1	1			1					1	1	1			1			0	8	0	xxx	xxx	0	0	1
Light Plate	0	0	1	1	107	107	1	0	41	0	120	0	35	0	9442	13543	ltp	ltp			ltp	ltp	ltp	xtp	utp	0	1	2	3	1	6	1	flpltp	invltp			2	0	1	1	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1	1	1			1					1	1	2			1					1	1	2			1			7	8	0	buc	xxx	0	0	1
Light Plate Boots	0	0	1	1	11	11	0	0	50	0	36	0	20	0	544	2065	tbt	tbt			mbt	mbt	tbt	xtb	utb	0	16	2	2	1	4	1	flptbt	invtbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	8	16	120		0	3					1					1					1		2			1					1					1					1					1					1					1	2	3			1	2	3			1	1	1			1	1	2			1	1	1			1					1	1	1			1			0	8	0	xxx	xxx	0	0	1
Linked Mail	0	0	1	1	172	172	0	5	74	0	52	0	42	20	18866	19837	xng	xng			rng	rng	rng	xng	ung	0	1	2	3	1	6	1	flprng	invrng			0	0	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	8	0	xxx	xxx	0	0	1
Lion Helm	100	0	1	1	75	75	0	0	73	0	70	0	38	24	7126	8206	ba7	ba7			ba1	bhm	ba2	ba7	bac	0	0	2	2	1	4	1	flpba1	invba2									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	0	0	xxx	xxx	0	0	1
